title,context,desired_output,oc
MyNetworkTV telenovelas,"While originally planned for syndication, the format became the original lineup of MyNetworkTV in 2006.  Six limited-run serials were produced, each running about 65 episodes, and at least three others were halted in development. New episodes aired from Monday to Friday – and weekend clip shows recapped the shows' storylines.   Producers planned continuous cycles of thirteen-week serials with no repeats.  Once one series ended, another unrelated melodrama would begin the following week.  In total, MyNetworkTV planned to air 600 hours of original dramatic programming in HDTV every year. The telenovela format was unsuccessful and ratings were unexpectedly low.  An average of about 781,000 people tuned in to watch the telenovelas, according to Nielsen Media Research. Parent company News Corporation said MyNetworkTV lost two million dollars per week with the all-telenovela lineup. Under new network president Greg Meidel, production and development stopped in early 2007. ""Trying to get people to watch serialized dramas every night on MyNetworkTV was asking the impossible,"" he remarked.  The novelas premiered on September 5, 2006 and last aired on July 18, 2007.",The MyNetworkTV telenovelas were Fox Television's attempt to create a successful low-cost programming franchise by adapting Spanish-language telenovelas for U.S. viewers.,False
Hope Logan,"The character was portrayed by several child actors since Hope's introduction in 2002, most notably Rachel and Amanda Pace. In 2010, the role was rapidly aged and recast with actress Kim Matula, who made her first appearance in January 2010. Matula departed the serial as a series regular in December 2014, but she made guest appearances in 2015 and 2016. As of 2018, the role is portrayed by Annika Noelle. Introduced in 2002, Hope is the result of an affair between Brooke Logan and Deacon Sharpe, Brooke's ex-son-in-law. Upon Matula's casting, her main storylines revolved around relationships with former love interests Liam and Wyatt Spencer, and rivalry with Steffy Forrester, the latter of which mirrors the rivalry between their mothers, Brooke Logan and Taylor Hayes. Matula was nominated for the Daytime Emmy Award for Outstanding Younger Actress in a Drama Series in 2014 for her portrayal of Hope. Noelle's portrayal later earned a nomination for the Daytime Emmy Award for Outstanding Supporting Actress in a Drama Series in 2020.","Hope Logan is a fictional character from The Bold and the Beautiful, an American soap opera on the CBS network.",False
Public Service of Canada,"See also Government of Canada.   The Clerk of the Privy Council, as Canada's senior serving civil servant, is head of the Public Service of Canada. The Public Service is divided into various subsidiary administrative units such as departments, agencies, commissions, Crown corporations, and other federal organizations. Over 40% of the Public Service of Canada is located in the National Capital Region, although there are employees working at approximately 1,600 locations across Canada. The Public Service of Canada is the country's single largest employer.",The Public Service of Canada is the staff of the Canadian state .,False
Sonnet 88,"It's one of the Fair Youth sequence. Sonnet 88 continues the theme of a division between the two friends, based on their differing sense of values. The poet offers to support the young man's rejection of him by listing the poet's own faults, and in this way give double support to the young man. The paradoxical ideas of self-wounding in this sonnet are outlandish enough, that it is difficult to accept a sincere desire for self-immolation on the poet's part. This is especially clear in the context of other sonnets in the sequence that deal with a division between the poet and the young man. The poet does reserve for himself the story-telling posture (""I can set down a story""), which includes the considerable powers of poetry, powers that have been a recurring theme in the sonnets.",Sonnet 88 is one of 154 sonnets published in 1609 by the English playwright and poet William Shakespeare.,False
Medemia,It is the only species in the genus Medemia. The palm's dried dates have been found in ancient Egyptian tombs.,Medemia argun is a rare species of the palm tree family native to Egypt and Sudan.,False
The Battle of Sherramuir,"It was written when Burns toured the Highlands in 1787 and first published in The Scots Musical Museum, 1790. It was written to be sung to the 'Cameronian Rant'. The song was written as an adaptation of a broadside by John Barclay, called ""Dialogue Between Will Lick-Ladle and Tom Clean-Cogue"". Burns knew that the Battle of Sheriffmuir had ended so inconclusively that it was unclear which side had won. That knowledge formed the basis for the theme of the song which is written as an account of the battle by two shepherds taking contrary views of the events that unfolded. One of the shepherds believes that ""the red-coat lads wi' black cockades"" routed the rebels, painting a fearful picture of how they managed to ""hough the Clans like nine-pin kyles"". The other shepherd is just as convinced that the Jacobites ""did pursue / The horsemen back to Forth, man"" with the eventual result that ""...mony a huntit, poor Red-coat / For fear amaist did swarf, man.""","""The Battle of Sherramuir"" is a song written by the Scottish poet Robert Burns about the Battle of Sheriffmuir which occurred in Scotland in 1715 at the height of the Jacobite rising in England and Scotland.",False
Prix Europa,"The event takes place in the third week of October in Berlin, Germany. PRIX EUROPA awards the best European Television, Radio and Online productions each year with the aim of publishing them throughout Europe and supporting their continental distribution and use.  The festival calls on media professionals to compete against each other with their best productions. The festival is hosted by the German broadcaster Rundfunk Berlin-Brandenburg (RBB).",PRIX EUROPA&nbsp;– The European Broadcasting Festival&nbsp;– is the Europe's largest annual tri-medial festival and competition.,False
Sabrina Goes to Rome,"The film is a part of the Sabrina the Teenage Witch TV series franchise and is the second TV film made for the series following the 1996 Sabrina the Teenage Witch film, which was produced before the TV series went into production. The film features only two main characters from the TV series, the protagonist Sabrina Spellman (played by Melissa Joan Hart), and other main character Salem Saberhagen (voiced by Nick Bakay). The film introduces the character of Gwen (played by Tara Charendoff), a British witch, whom Sabrina meets in Rome. As the film is set in Rome, none of the scenes are set on the original set of the TV series. The film was directed by Tibor Takács, the director of the original Sabrina the Teenage Witch film. Takács also directed an episode of the TV series. Due to the success of Sabrina Goes to Rome, ABC produced a sequel titled Sabrina Down Under. This film again only included Sabrina and Salem from the TV series. Tara Charendoff reprised her role of Gwen for the second film. The film is included in the season 7 DVD release of the Sabrina the Teenage Witch TV series.",Sabrina Goes to Rome is a 1998 television film produced for ABC.,False
Sabrina Down Under,"It is a sequel to Sabrina Goes to Rome and is a companion to the Sabrina the Teenage Witch television series. The film features only two characters from the TV series: teenage witch Sabrina Spellman (played by Melissa Joan Hart), and talking cat Salem Saberhagen (voiced by Nick Bakay). Lindsay Sloane was also a regular actress in the TV series, but plays a different character in this film. Tara Charendoff reprises her role as Gwen from Sabrina Goes to Rome. As the film is set in Australia, none of the scenes are filmed on the original set of the TV series. The film was directed by Kenneth R. Koch, who helped to produce Sabrina Goes to Rome. He also directed many episodes of the television series and was a prominent producer of the show. Unlike Sabrina Goes to Rome, which is included in the season 7 DVD release of the Sabrina the Teenage Witch TV series, Sabrina Down Under was not included in any of the season sets. It was later released on a stand-alone DVD on February 7, 2017. Prior to this, the film has been released on VHS, and is available to stream on Hulu.",Sabrina Down Under is a 1999 television film produced for ABC.,False
Wodyetia,"It is the sole species in the genus Wodyetia. The Palm and Cycads Societies of Australia (PACSOA) describes this palm as follows: ""Very attractive palm with long (2-3m.) plumose leaves (hence the name 'Foxtail'), and up to 10m tall with a grey trunk. It produces large (about the size of a duck egg) orange fruit""","Wodyetia bifurcata, the foxtail palm, is a species of palm in the family Arecaceae, native to Queensland, Australia.",False
Bobby Rowe (ice hockey),"He played for the Renfrew Millionaires, Victoria Aristocrats, Seattle Metropolitans, and Boston Bruins. Rowe won the Stanley Cup in 1917 as the captain of the Seattle Metropolitans. After his hockey career Rowe worked with promoting midget auto racing in the Northwest United States.","Robert Price ""Stubby"" Rowe was a professional ice hockey player who played 283 games in the Pacific Coast Hockey Association and 4 games in the National Hockey League.",False
Kitty Kat (song),"It was composed by Beyoncé, Pharrell Williams, and Shawn Carter.                          ""Kitty Kat"" is a mid-tempo R&B song whose lyrics detail a situation where a woman feels that her man has underestimated her. The song was generally well received by music critics who noted it to be a seductive track thanks to its ""I'm not feelin[g] it"" vibe. However, some music critics felt that the production does not live up to those of other songs featured on B'Day. ""Kitty Kat"" was never released as a single but it garnered airplay on R&B radio stations, thus managing to chart on the US Hot R&B/Hip-Hop Songs chart, where it reached a high point of #66 in May 2007. The accompanying music video for the song was directed by Melina Matsoukas and co-directed by Knowles for the B'Day Anthology Video Album (2007). It is only one-minute long and it serves as the introduction of the music video for ""Green Light"" (2007). The video for ""Kitty Kat"" features Knowles showing cat-like eyes with leopard print make-up and fashion on. In some parts of the clip, Knowles rides on an oversized black cat.","""Kitty Kat"" is a song recorded by American singer Beyoncé for her second studio album, B'Day .",False
Roman Catholic Archdiocese of Nueva Segovia,"It covers the province of Ilocos Sur, on the island of Luzon. The see of the archdiocese is the city of Vigan. The archdiocese was erected in 1595 in the city of Nueva Segovia (modern-day Lal-lo, Cagayan). The see was moved in 1758 to Vigan because of its relative distance, at the request of Bishop Juan de la Fuente Yepes, during the pontificate of Benedict XIV. It became an archdiocese in 1951. The Archdiocese features the only Archbishop's Residence in the Philippines built during the Spanish Era. It is located just beside the Vigan Cathedral.  The rear of the convent also had an access to nearby Govantes Dike, apparently a convenient exit point by sea, but it is no longer in use as the dike is no longer navigable. Both the Archbishop's Residence and the Cathedral itself remains to be one of the greatest contributions of the Order of Augustinian Recollects in the Philippines. The Archdiocese also operates its own radio station, dzNS (""NS"" meaning ""New Sound"" and ""Nueva Segovia"").  It is known for being a truly neutral radio station. It is a member of the Catholic Media Network. The Archdiocese also operates a weekly newspaper, ""Timek ti Amianan"" (Ilocano: ""Voice of the North"").",The Archdiocese of Nueva Segovia is an archdiocese of the Catholic Church in the Philippines.,False
Yomitan Auxiliary Airfield,"It was closed in July 1996 and turned over to the Japanese government in December 2006. Today it is home to the Yomitan Village Office and community complex, including baseball fields, running tracks, and community facilities. Yontan (Yomitan) Airfield was originally established by the Imperial Japanese Army in 1944 as . During the Battle of Okinawa on April 1, 1945, United States Marine Corps and United States Army forces seized the airfield on the first day of their landing. It was quickly repaired and became the first airfield on Okinawa to be used by the American forces.  Later it was developed into a major American base for Army, Marine, and Navy aircraft. The Boeing B-29 Bockscar landed at Yomitan after the atomic bombing of Nagasaki.",Yontan Airfield is a former military airfield located near Yomitan Village on the west coast of Okinawa.,False
Once More to the Lake,"White. It chronicles his pilgrimage back to a lakefront resort, Belgrade Lakes, Maine, that he visited as a child. In ""Once More to the Lake,"" White revisits his ideal boyhood vacation spot.  While he initially finds great joy in his visit, the nostalgia causes him to struggle to remember that he is now a man, as he grapples with his own mortality.","""Once More to the Lake"" is an essay first published in Harper's Magazine in 1941 by author E. B.",False
