Time (sec),Max Height X,Max Height Y
1.2,0.2944300003,0.232648852
1.233310658,0.3166613165,0.2388058353
1.266666667,0.3129429034,0.2235677982
1.3,0.3071635479,0.2215253863
1.333310658,0.306456274,0.2195523528
1.366666667,0.2963872211,0.2215457452
1.4,0.2948373758,0.2255206705
1.433310658,0.2916237841,0.2236099984
1.466666667,0.2855525354,0.2236099984
1.5,0.2820160181,0.2223010008
1.533310658,0.2804758087,0.2249635682
1.566666667,0.2899034578,0.2295305814
1.6,0.2841908616,0.2344206685
1.633310658,0.279162759,0.2361821079
1.666666667,0.2763644986,0.2381066161
1.7,0.2763644986,0.2400871607
1.733310658,0.2728731464,0.2400871607
1.766666667,0.2728731464,0.2379765564
1.8,0.2681619409,0.2367955431
1.833310658,0.2681619409,0.2335904013
1.866666667,0.2638253488,0.2323881396
1.9,0.2610345994,0.2287967719
1.933310658,0.259867521,0.2256327432
1.966666667,0.259867521,0.2256327432
2,0.259867521,0.2229559444
2.033310658,0.259867521,0.2202763782
2.066666667,0.2590611706,0.2143430462
2.1,0.2590611706,0.2079804974
2.133310658,0.2542564228,0.2055749857
2.166666667,0.2530299973,0.1994991415
2.2,0.2649108928,0.2038764019
2.233310658,0.2631216329,0.2102756165
2.266666667,0.268811597,0.2073699283
2.3,0.269566062,0.2073699283
2.333310658,0.2781235167,0.2073699283
2.366666667,0.2849646971,0.2100157936
2.4,0.2849646971,0.2100157936
2.433310658,0.2849646971,0.2100157936
2.466666667,0.277346321,0.211777233
2.5,0.277346321,0.211777233
2.533310658,0.277346321,0.211777233
2.566666667,0.277346321,0.2133839053
2.6,0.2789014042,0.2126146159
2.633310658,0.2792977108,0.2078886847
2.666666667,0.2796970811,0.2078886847
2.7,0.2796970811,0.2110792985
2.733310658,0.2691121378,0.2199613096
2.766666667,0.2659071937,0.2154320493
2.8,0.2742070491,0.2188443378
2.833310658,0.2742070491,0.225331906
2.866666667,0.2812076911,0.2233984043
2.9,0.2880291056,0.2201609453
2.933310658,0.2892178276,0.2259126286
2.966666667,0.293421148,0.2228973384
3,0.2941836182,0.2233151898
3.033310658,0.2941836182,0.2233151898
3.066666667,0.3022874946,0.2249687074
3.1,0.2945541302,0.2299374628
3.133310658,0.2945541302,0.2299374628
3.166666667,0.2945541302,0.2299374628
3.2,0.2945541302,0.2299374628
3.233310658,0.2995339051,0.2299374628
3.266666667,0.2995339051,0.2299374628
3.3,0.2995339051,0.2299374628
3.333310658,0.2957493256,0.2295195125
3.366666667,0.2957493256,0.2291198457
3.4,0.2934790622,0.2207675612
3.433310658,0.2990475154,0.2251289101
3.466666667,0.2994465892,0.2251289101
3.5,0.2994465892,0.2251289101
3.533310658,0.299820165,0.2251289101
3.566666667,0.3050259137,0.2220433521
3.6,0.3050259137,0.2224430189
3.633310658,0.3065662714,0.2224430189
3.666666667,0.3065662714,0.2224430189
3.7,0.3040311941,0.2253509801
3.733310658,0.3028059051,0.2253509801
3.766666667,0.2987365976,0.2265621365
3.8,0.2987365976,0.2265621365
3.833310658,0.2987365976,0.2265621365
3.866666667,0.2987365976,0.2265621365
3.9,0.2987365976,0.2265621365
3.933310658,0.2987365976,0.2265621365
3.966666667,0.2975850849,0.2189453416
4,0.2975850849,0.2189453416
4.033310658,0.2975850849,0.2189453416
4.066666667,0.2975850849,0.2189453416
4.1,0.2975850849,0.2189453416
4.133310658,0.2975850849,0.2189453416
4.166666667,0.2975850849,0.2189453416
4.2,0.2975850849,0.2189453416
4.233310658,0.2975850849,0.2189453416
4.266666667,0.2975850849,0.2189453416
4.3,0.2975850849,0.2189453416
4.333310658,0.2975850849,0.2189453416
4.366666667,0.298008619,0.2163919809
4.4,0.298008619,0.2163919809
4.433310658,0.298008619,0.2163919809
4.466666667,0.298008619,0.2163919809
4.5,0.298008619,0.2163919809
4.533310658,0.298008619,0.2163919809
4.566666667,0.298008619,0.2163919809
4.6,0.298008619,0.2163919809
4.633310658,0.298008619,0.2163919809
4.666666667,0.298008619,0.2163919809
4.7,0.298008619,0.2163919809
4.733310658,0.298008619,0.2163919809
4.766666667,0.298008619,0.2163919809
4.8,0.298008619,0.2163919809
4.833310658,0.298008619,0.2163919809
4.866666667,0.2873955092,0.238167001
4.9,0.2736900222,0.2443612431
4.933310658,0.2832165997,0.2448574663
4.966666667,0.2877111709,0.2402310565
5,0.2915183329,0.2342223176
5.033310658,0.3057926335,0.2338231449
5.066666667,0.3065646901,0.2341973137
5.1,0.3093763419,0.2341973137
5.133310658,0.3204388791,0.225583032
5.166666667,0.3106042499,0.2219299946
5.2,0.3052753595,0.2182344605
5.233310658,0.3045257372,0.2182344605
5.266666667,0.2927135283,0.223171887
5.3,0.2977110431,0.2290795233
5.333310658,0.2985918123,0.224946273
5.366666667,0.2985918123,0.224946273
5.4,0.2985918123,0.224946273
5.433310658,0.2971601671,0.2401728459
5.466666667,0.2908988198,0.2388890498
5.5,0.2905177824,0.2385008473
5.533310658,0.291353337,0.2336290437
5.566666667,0.2917712872,0.2296523395
5.6,0.300052118,0.2296523395
5.633310658,0.300052118,0.2341932617
5.666666667,0.3068428953,0.2336855742
5.7,0.2978916542,0.2161203972
5.733310658,0.2975063177,0.2161203972
5.766666667,0.2975063177,0.2242943932
5.8,0.2975063177,0.2218822599
5.833310658,0.2975063177,0.2218822599
5.866666667,0.2975063177,0.2218822599
5.9,0.2975063177,0.2218822599
5.933310658,0.2975063177,0.2218822599
5.966666667,0.303369036,0.2218822599
6,0.303369036,0.2218822599
6.033310658,0.3013648711,0.2218822599
6.066666667,0.3009904553,0.2218822599
6.1,0.2895832006,0.2218822599
6.133310658,0.2879986167,0.2227181604
6.166666667,0.3030878658,0.2216763979
6.2,0.3011928089,0.2087700468
6.233310658,0.3002671711,0.2140668176
6.266666667,0.3002671711,0.2184628557
6.3,0.2987014143,0.2184628557
6.333310658,0.2987014143,0.2200226827
6.366666667,0.2937469891,0.2167012186
6.4,0.29335681,0.2167012186
6.433310658,0.29335681,0.2092794144
6.466666667,0.2869737046,0.2088893341
6.5,0.2780567573,0.2088893341
6.533310658,0.2727062727,0.2104383888
6.566666667,0.2705659207,0.2209845909
6.6,0.2658974095,0.2205561648
